experience_years,avg_daily_focus_hours,manager_rating,technical_skill_score,certifications_count,communication_score,stress_level,project_complexity,team_size
7,9.76,2,67,0,42,1,2,7
20,8.86,4,43,0,84,10,4,12
13,8.69,2,79,8,77,8,4,13
23,9.55,5,51,0,60,5,3,6
16,6.09,2,94,4,77,2,3,12
14,5.65,4,89,7,77,4,4,13
14,9.08,3,99,9,56,10,4,14
9,6.17,5,52,4,45,5,3,8
4,8.71,1,74,8,79,3,4,4
4,7.91,2,79,3,83,3,1,13
0,7.51,4,41,7,58,3,1,12
4,6.43,4,84,9,75,3,3,6
6,6.4,4,71,8,42,2,1,2
24,4.78,4,58,1,71,9,3,13
20,6.0,4,60,6,73,5,4,7
16,8.86,4,48,8,45,1,1,8
4,8.97,3,86,7,52,9,4,2
1,5.81,4,95,5,70,9,3,2
6,7.64,4,45,0,89,9,3,6
23,6.65,3,82,7,79,5,2,10
8,9.08,4,59,4,43,6,2,11
6,5.0,4,96,6,46,3,5,8
3,6.12,5,90,0,44,4,1,8
17,6.86,4,60,3,88,2,4,7
2,8.67,2,88,8,60,10,3,14
21,7.88,4,51,8,56,7,1,9
18,7.16,4,59,7,86,10,2,4
1,5.68,2,95,5,47,4,1,6
1,8.55,5,70,3,98,2,2,13
2,6.18,2,68,3,57,7,2,7
16,5.28,5,79,2,50,1,4,2
7,4.38,4,95,4,89,4,2,8
7,4.16,1,54,1,72,2,2,8
19,3.65,1,94,1,61,9,3,12
14,3.52,3,40,9,45,1,2,2
23,5.54,4,93,7,46,8,4,9
11,5.6,1,47,7,99,4,5,14
12,9.59,5,97,3,72,2,3,10
22,9.87,3,43,3,73,3,3,7
14,4.78,2,94,1,55,8,1,2
5,3.75,3,61,5,79,10,5,7
6,6.86,3,61,3,99,4,4,8
1,6.31,4,40,9,74,10,4,9
13,6.68,4,53,3,83,8,3,9
3,6.87,1,91,7,75,6,3,6
5,3.7,4,83,9,43,9,4,7
18,4.97,1,90,8,75,4,4,7
23,7.99,1,69,6,41,1,5,13
23,6.05,3,51,5,60,7,4,8
23,5.87,3,68,9,80,8,2,3
6,7.19,3,40,3,56,10,1,2
19,8.77,1,49,9,88,3,5,11
21,6.67,5,90,4,51,2,1,7
1,4.82,3,80,6,87,7,3,2
5,3.57,1,40,5,48,7,5,9
16,3.48,2,59,6,41,2,3,3
8,4.96,5,63,1,52,7,3,7
19,4.91,2,85,7,63,8,2,3
11,3.28,5,82,9,74,4,2,7
16,5.65,4,67,5,95,9,3,3
13,9.46,4,95,3,61,2,3,12
23,3.38,5,96,5,81,7,4,8
21,4.98,2,92,8,69,8,3,9
11,3.17,3,41,3,96,8,4,10
0,9.56,1,43,9,62,6,1,10
18,3.37,5,60,2,41,10,1,6
1,8.51,3,72,6,42,1,1,4
11,4.36,1,77,4,82,7,5,5
22,3.76,1,43,3,94,2,2,3
11,6.12,1,40,1,76,10,5,13
23,3.89,5,67,6,62,7,1,13
4,4.51,4,49,3,41,6,2,2
0,4.63,4,62,6,75,9,4,7
22,3.48,1,87,3,71,2,2,8
24,6.5,3,88,3,82,4,4,12
9,7.66,5,45,5,82,2,3,9
12,8.14,4,56,1,68,9,5,4
5,3.13,3,75,9,49,2,2,4
21,4.26,3,58,5,99,9,5,2
3,4.2,1,97,7,71,6,2,6
9,6.67,4,48,0,64,6,5,4
0,6.32,4,93,1,67,9,3,5
3,8.39,5,42,4,92,9,3,7
9,7.74,4,87,5,98,3,1,14
7,7.72,2,86,2,91,6,3,7
10,5.16,1,53,9,60,10,5,13
12,5.18,5,99,8,50,3,2,3
8,4.86,5,90,0,43,1,5,7
12,3.26,1,57,7,66,10,4,5
23,4.35,5,80,0,75,9,4,8
10,9.11,5,66,2,61,6,5,10
0,8.26,2,81,0,92,9,3,14
12,6.52,3,88,1,54,10,4,13
21,4.9,5,79,9,93,5,3,2
5,7.71,1,66,0,76,1,2,11
7,9.06,4,60,1,61,9,5,13
9,4.2,2,87,9,57,7,5,7
1,4.28,1,78,0,66,8,4,11
16,9.31,4,95,8,74,3,3,14
18,4.28,4,77,1,43,1,2,3
13,4.5,2,62,1,95,5,4,3
2,9.09,4,85,8,53,8,3,10
4,9.26,3,67,5,93,10,1,7
19,7.37,4,63,8,68,9,3,8
19,9.27,1,53,9,93,1,3,9
13,5.01,5,88,7,91,7,5,6
